University Name,Major Name,Source URL
American University of Vietnam,Aviation,https://auv.edu.vn/academics
American University of Vietnam,Aviation Management and Maintenance Management,https://auv.edu.vn/academics
American University of Vietnam,Broadcast Journalism,https://auv.edu.vn/academics
American University of Vietnam,Business Administration,https://auv.edu.vn/academics
American University of Vietnam,Communication Studies,https://auv.edu.vn/academics
American University of Vietnam,Computer Science,https://auv.edu.vn/academics
American University of Vietnam,Electrical Engineering,https://auv.edu.vn/academics
American University of Vietnam,Global Business Administration,https://auv.edu.vn/academics
American University of Vietnam,Health Sciences,https://auv.edu.vn/academics
American University of Vietnam,Hospitality Management,https://auv.edu.vn/academics
American University of Vietnam,Industrial Engineering,https://auv.edu.vn/academics
American University of Vietnam,Information Technology,https://auv.edu.vn/academics
American University of Vietnam,Mass Communication,https://auv.edu.vn/academics
American University of Vietnam,Media Communications,https://auv.edu.vn/academics
American University of Vietnam,Multimedia,https://auv.edu.vn/academics
American University of Vietnam,Public Relations,https://auv.edu.vn/academics
American University of Vietnam,Software Engineering,https://auv.edu.vn/academics
American University of Vietnam,Sustainable Tourism,https://auv.edu.vn/academics
Bournemouth University,BA (Hons) Events Management,https://www.bournemouth.ac.uk/collaborate/global-bu/east-asia-oceania/british-university-vietnam
Bournemouth University,BA (Hons) Tourism Management,https://www.bournemouth.ac.uk/collaborate/global-bu/east-asia-oceania/british-university-vietnam
British University Vietnam,BA (Hons) Contemporary Creative Practice: Animation,https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Contemporary Creative Practice: Graphic Design,https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Contemporary Creative Practice: Illustration,https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Contemporary Creative Practice: Photography,https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Digital & Social Media Marketing,https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Events Management,https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Film and Media Production,https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Finance and Economics (Dual),https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Games Art,https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Graphic Design (Dual Degree),https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Illustration with Animation (Dual Degree),https://www.buv.edu.vn/courses/
British University Vietnam,"BA (Hons) Professional Communication (Business, Design & Strategy)",https://www.buv.edu.vn/courses/
British University Vietnam,BA (Hons) Tourism Management,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Accounting and Finance,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Banking and Finance (Dual Degree),https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Business and Management,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Computer Games Design and Programming,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Computer Science,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Data Science and Artificial Intelligence,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Data Science and Business Analytics,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Digital Business and Technology Innovation (Dual Degree),https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Economics and Management,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Finance,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) International Business Management,https://www.buv.edu.vn/courses/
British University Vietnam,BSc (Hons) Software Engineering,https://www.buv.edu.vn/courses/
British University Vietnam,Bachelor in International Hospitality Management,https://www.buv.edu.vn/courses/
British University Vietnam,Bachelor of Computer Science (Game Innovation),https://www.buv.edu.vn/courses/
British University Vietnam,MBA Business Administration,https://www.buv.edu.vn/courses/
Can Tho University,Accounting,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Administrative Law,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Agricultural Economics,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Agricultural System,https://www.ctu.edu.vn/academics/graduate-programs
Can Tho University,Algebra and Number Theory,https://www.ctu.edu.vn/academics/graduate-programs
Can Tho University,Animal Production,https://www.ctu.edu.vn/academics/graduate-programs
Can Tho University,Animal Science,https://www.ctu.edu.vn/academics/graduate-programs
Can Tho University,Applied Biological Sciences,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Applied Mathematics,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Aquaculture,https://www.ctu.edu.vn/academics/graduate-programs
Can Tho University,Aquatic Pathobiology,https://www.ctu.edu.vn/academics/graduate-programs
Can Tho University,Aquatic Products Processing Technology,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Artificial Intelligence,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Auditing,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Biology,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Biology Teacher Education,https://www.ctu.edu.vn/academics/undergraduate-programs
Can Tho University,Biotechnology,https://www.ctu.edu.vn/academics/undergraduate-programs
